1773,"[1, 2, 98]"
783,"[1, 2, 98]"
1133,"[1, 2, 98]"
362,"[1, 2, 98]"
131,"[1, 2, 98]"
1114,"[1, 2, 98]"
226,"[1, 2, 98]"
507,"[1, 2, 98]"
278,"[1, 2, 98]"
64,"[1, 2, 98]"
1490,"[1, 2, 98]"
976,"[1, 3, 39, 43, 96, 123]"
854,"[1, 3, 96]"
595,"[1, 3, 96]"
183,"[1, 3, 96]"
1109,"[1, 3, 96]"
867,"[1, 3, 96]"
359,"[1, 3, 96]"
344,"[1, 3, 96]"
102,"[1, 3, 96]"
1752,"[1, 3, 96]"
550,"[1, 3, 96]"
142,"[1, 3, 96]"
450,"[1, 4, 8, 160, 168]"
109,"[1, 4, 160]"
1598,"[1, 5, 8, 98, 146, 147, 165, 171]"
786,"[1, 5, 11, 98, 145, 153, 165]"
739,"[1, 5, 39, 65, 139, 167]"
1214,"[1, 5, 96, 98, 157, 166, 350]"
716,"[1, 5, 98, 147, 167]"
1131,"[1, 5, 165]"
1574,"[1, 5, 165]"
710,"[1, 5, 165]"
597,"[1, 5, 165]"
1037,"[1, 5, 165]"
1476,"[1, 5, 165]"
1350,"[1, 5, 165, 166]"
685,"[1, 5, 166]"
1693,"[1, 5, 166]"
420,"[1, 5, 166]"
251,"[1, 5, 166]"
1286,"[1, 5, 166]"
12,"[1, 5, 166]"
458,"[1, 5, 166]"
727,"[1, 5, 166]"
719,"[1, 5, 166]"
205,"[1, 5, 166, 167]"
929,"[1, 5, 167]"
747,"[1, 5, 167]"
1224,"[1, 5, 167]"
1008,"[1, 5, 167]"
1053,"[1, 5, 167, 314]"
846,"[1, 5, 316]"
1531,"[1, 5, 316]"
900,"[1, 6, 162]"
1732,"[1, 6, 162]"
589,"[1, 6, 162]"
373,"[1, 6, 162]"
1462,"[1, 6, 162]"
1680,"[1, 6, 162]"
184,"[1, 6, 162]"
1438,"[1, 6, 162]"
1423,"[1, 6, 162]"
1414,"[1, 6, 162]"
239,"[1, 6, 162]"
58,"[1, 6, 162]"
609,"[1, 6, 162]"
17,"[1, 6, 162, 164]"
632,"[1, 6, 163]"
515,"[1, 6, 163]"
276,"[1, 6, 163]"
527,"[1, 6, 163]"
781,"[1, 6, 163]"
1339,"[1, 6, 163]"
1559,"[1, 6, 163]"
1515,"[1, 6, 163]"
650,"[1, 6, 163]"
1499,"[1, 6, 163]"
379,"[1, 6, 163]"
1069,"[1, 6, 163]"
162,"[1, 6, 163]"
942,"[1, 6, 163]"
171,"[1, 6, 163]"
1332,"[1, 6, 163]"
1385,"[1, 6, 163]"
45,"[1, 6, 163]"
437,"[1, 6, 163]"
827,"[1, 6, 163]"
1670,"[1, 6, 163]"
190,"[1, 6, 163, 164]"
912,"[1, 6, 164]"
1090,"[1, 6, 164]"
1550,"[1, 6, 164]"
973,"[1, 6, 164]"
410,"[1, 6, 164]"
1405,"[1, 6, 164]"
1384,"[1, 6, 164]"
1141,"[1, 6, 164]"
1635,"[1, 6, 164]"
970,"[1, 6, 164]"
236,"[1, 6, 164]"
562,"[1, 6, 164]"
1496,"[1, 6, 164]"
616,"[1, 6, 164]"
512,"[1, 6, 164]"
1349,"[1, 6, 164]"
849,"[1, 6, 164]"
447,"[1, 6, 164]"
89,"[1, 6, 164]"
764,"[1, 6, 164]"
561,"[1, 6, 164, 313]"
582,"[1, 6, 317]"
1221,"[1, 7, 14, 180, 181, 184]"
441,"[1, 7, 14, 181, 324]"
240,"[1, 7, 98, 145, 180]"
919,"[1, 7, 180]"
1257,"[1, 7, 180]"
596,"[1, 7, 180]"
1709,"[1, 7, 180]"
1420,"[1, 7, 180]"
136,"[1, 7, 180]"
356,"[1, 7, 180]"
1705,"[1, 7, 180]"
46,"[1, 7, 180]"
273,"[1, 7, 180]"
191,"[1, 7, 180]"
1061,"[1, 7, 180]"
1590,"[1, 7, 180]"
1625,"[1, 7, 180]"
549,"[1, 7, 180]"
1431,"[1, 7, 180]"
334,"[1, 7, 180]"
254,"[1, 7, 180, 181]"
600,"[1, 7, 180, 312]"
1446,"[1, 7, 181]"
931,"[1, 7, 181]"
1713,"[1, 7, 181]"
1433,"[1, 7, 181]"
84,"[1, 7, 181]"
342,"[1, 7, 181]"
1268,"[1, 7, 182]"
715,"[1, 7, 182]"
1149,"[1, 7, 182]"
1447,"[1, 7, 312]"
459,"[1, 7, 312]"
346,"[1, 7, 312]"
746,"[1, 7, 318]"
692,"[1, 8, 168]"
769,"[1, 8, 168]"
463,"[1, 8, 168]"
1424,"[1, 8, 168]"
152,"[1, 8, 168]"
